Player,Country,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
TWM Latham,New Zealand,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,9,-
Litton Das,Bangladesh,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,5,-
LS Livingstone,England,2023-2023,6,6,174,1,158,3,1/13,52.66,5.44,58.0,-,-,2,-
D Madushanka,Sri Lanka,2023-2023,9,9,470,4,525,21,5/80,25.00,6.70,22.3,1,-,-,-
KA Maharaj,South Africa,2023-2023,10,10,534,1,370,15,4/46,24.66,4.15,35.6,-,-,4,-
Mahedi Hasan,Bangladesh,2023-2023,3,3,144,-,149,6,4/71,24.83,6.20,24.0,-,-,1,-
Mahmudullah,Bangladesh,2023-2023,8,3,30,-,33,-,-,-,6.60,-,-,-,5,-
DJ Malan,England,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,4,-
AK Markram,South Africa,2023-2023,10,4,111,1,85,1,1/23,85.00,4.59,111.0,-,-,4,-
MR Marsh,Australia,2023-2023,10,5,78,-,96,2,2/19,48.00,7.38,39.0,-,-,-,-
AD Mathews,Sri Lanka,2023-2023,5,5,133,2,107,6,2/14,17.83,4.82,22.1,-,-,-,-
GJ Maxwell,Australia,2023-2023,9,8,411,1,330,6,2/34,55.00,4.81,68.5,-,-,4,-
Mehidy Hasan Miraz,Bangladesh,2023-2023,9,9,432,3,402,10,3/25,40.20,5.58,43.2,-,-,2,-
BKG Mendis,Sri Lanka,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,6,1
DA Miller,South Africa,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,7,-
DJ Mitchell,New Zealand,2023-2023,10,2,9,-,12,-,-,-,8.00,-,-,-,11,-
Mohammad Nabi,Afghanistan,2023-2023,9,9,369,4,254,8,3/28,31.75,4.13,46.1,-,-,5,-
Mohammad Nawaz,Pakistan,2023-2023,5,5,227,-,223,2,1/31,111.50,5.89,113.5,-,-,1,-
Mohammad Rizwan,Pakistan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,11,-
Mohammad Wasim,Pakistan,2023-2023,4,4,229,2,215,10,3/31,21.50,5.63,22.9,-,-,1,-
Mohammed Shami,India,2023-2023,7,7,293,4,257,24,7/57,10.70,5.26,12.2,3,-,2,-
Mohammed Siraj,India,2023-2023,11,11,495,6,469,14,3/16,33.50,5.68,35.3,-,-,-,-
Mujeeb Ur Rahman,Afghanistan,2023-2023,9,9,491,2,458,8,3/51,57.25,5.59,61.3,-,-,1,-
Mushfiqur Rahim,Bangladesh,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,4,1
Mustafizur Rahman,Bangladesh,2023-2023,8,8,394,3,398,5,2/36,79.60,6.06,78.8,-,-,1,-
Najibullah Zadran,Afghanistan,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Nasum Ahmed,Bangladesh,2023-2023,3,3,147,-,172,-,-,-,7.02,-,-,-,1,-
Naveen-ul-Haq,Afghanistan,2023-2023,8,8,322,1,352,8,2/47,44.00,6.55,40.2,-,-,2,-
Najmul Hossain Shanto,Bangladesh,2023-2023,9,1,6,-,5,-,-,-,5.00,-,-,-,3,-
JDS Neesham,New Zealand,2023-2023,3,3,87,-,157,2,1/32,78.50,10.82,43.5,-,-,1,-
L Ngidi,South Africa,2023-2023,8,8,363,6,355,10,2/26,35.50,5.86,36.3,-,-,1,-
AT Nidamanuru,Netherlands,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,2,-
P Nissanka,Sri Lanka,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,2,-
Noor Ahmad,Afghanistan,2023-2023,4,4,228,1,182,5,3/49,36.40,4.78,45.6,-,-,-,-
MP O'Dowd,Netherlands,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,-
HH Pandya,India,2023-2023,4,4,99,-,113,5,2/34,22.60,6.84,19.8,-,-,1,-
M Pathirana,Sri Lanka,2023-2023,2,2,114,-,185,2,1/90,92.50,9.73,57.0,-,-,-,-
MDKJ Perera,Sri Lanka,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,3,-
AL Phehlukwayo,South Africa,2023-2023,1,1,42,-,36,1,1/36,36.00,5.14,42.0,-,-,-,-
GD Phillips,New Zealand,2023-2023,10,10,240,1,233,6,3/37,38.83,5.82,40.0,-,-,5,-
K Rabada,South Africa,2023-2023,9,9,437,7,364,13,3/33,28.00,4.99,33.6,-,-,4,-
Rahmanullah Gurbaz,Afghanistan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,2,-
Rahmat Shah,Afghanistan,2023-2023,9,1,6,-,12,-,-,-,12.00,-,-,-,2,-
KL Rahul,India,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,16,1
CAK Rajitha,Sri Lanka,2023-2023,6,6,294,1,336,8,4/50,42.00,6.85,36.7,-,-,1,-
AU Rashid,England,2023-2023,9,9,478,1,413,15,3/42,27.53,5.18,31.8,-,-,3,-
Rashid Khan,Afghanistan,2023-2023,9,9,519,2,388,11,3/37,35.27,4.48,47.1,-,-,3,-
R Ravindra,New Zealand,2023-2023,10,9,394,-,393,5,2/21,78.60,5.98,78.8,-,-,3,-
JE Root,England,2023-2023,9,2,61,-,67,1,1/19,67.00,6.59,61.0,-,-,5,-
S Samarawickrama,Sri Lanka,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,3,-
MJ Santner,New Zealand,2023-2023,10,10,556,4,449,16,5/59,28.06,4.84,34.7,1,-,5,-
Saqib Zulfiqar,Netherlands,2023-2023,2,2,30,-,40,1,1/25,40.00,8.00,30.0,-,-,3,-
Saud Shakeel,Pakistan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,3,-
Shadab Khan,Pakistan,2023-2023,6,5,228,-,237,2,1/45,118.50,6.23,114.0,-,-,2,-
Shaheen Shah Afridi,Pakistan,2023-2023,9,9,486,3,481,18,5/54,26.72,5.93,27.0,1,-,3,-
T Shamsi,South Africa,2023-2023,4,4,227,-,212,9,4/60,23.55,5.60,25.2,-,-,-,-
MD Shanaka,Sri Lanka,2023-2023,2,2,66,-,64,-,-,-,5.81,-,-,-,1,-
Shakib Al Hasan,Bangladesh,2023-2023,7,7,375,1,329,9,3/30,36.55,5.26,41.6,-,-,2,-
Shariz Ahmad,Netherlands,2023-2023,1,1,12,-,13,-,-,-,6.50,-,-,-,-,-
RG Sharma,India,2023-2023,11,1,5,-,7,1,1/7,7.00,8.40,5.0,-,-,2,-
Shoriful Islam,Bangladesh,2023-2023,8,8,388,3,409,10,3/75,40.90,6.32,38.8,-,-,1,-
Shubman Gill,India,2023-2023,9,1,12,-,11,-,-,-,5.50,-,-,-,6,-
SPD Smith,Australia,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,2,-
IS Sodhi,New Zealand,2023-2023,1,1,24,-,44,-,-,-,11.00,-,-,-,-,-
