innings,Bowler,Overs,Maidens,Runs,Wickets,Econ,0s,4s,6s,WD,NB,id
Bangladesh,Adam Zampa,10,0,32,2,3.20,39,2,1,0,0,4700
Bangladesh,Travis Head,6,0,33,0,5.50,14,2,1,0,0,4700
Bangladesh,Marcus Stoinis,5,0,45,1,9.00,4,4,0,2,0,4700
Australia,Taskin Ahmed,10,0,61,1,6.10,30,6,2,1,0,4700
Australia,Mahedi Hasan,9,0,38,0,4.22,29,3,0,1,0,4700
Australia,Nasum Ahmed,10,0,85,0,8.50,21,9,3,1,0,4700
Australia,Mehidy Hasan Miraz,6,0,47,0,7.83,13,3,3,0,0,4700
Australia,Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,4700
Afghanistan,Kagiso Rabada,10,0,40,0,4.00,37,4,1,0,0,4699
Afghanistan,Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0,4699
Afghanistan,Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,4699
Afghanistan,Gerald Coetzee,10,1,44,4,4.40,35,5,0,2,0,4699
Afghanistan,Keshav Maharaj,10,1,25,2,2.50,41,0,0,2,0,4699
Afghanistan,Andile Phehlukwayo,7,0,36,1,5.14,20,4,0,0,0,4699
South Africa,Mujeeb Ur Rahman,10,0,51,1,5.10,33,4,2,1,0,4699
South Africa,Naveen-ul-Haq,6.3,0,52,0,8.00,16,2,4,1,0,4699
South Africa,Mohammad Nabi,10,1,35,2,3.50,36,3,0,0,0,4699
South Africa,Azmatullah Omarzai,1,0,8,0,8.00,3,0,1,0,0,4699
South Africa,Rashid Khan,10,1,37,2,3.70,38,2,1,1,0,4699
South Africa,Noor Ahmad,9,0,49,0,5.44,23,3,0,3,0,4699
South Africa,Rahmat Shah,1,0,12,0,12.00,2,1,1,0,0,4699
Sri Lanka,Trent Boult,10,3,37,3,3.70,45,6,0,3,0,4698
Sri Lanka,Tim Southee,8,0,52,1,6.50,29,6,3,0,0,4698
Sri Lanka,Lockie Ferguson,10,2,35,2,3.50,43,6,0,0,0,4698
Sri Lanka,Mitchell Santner,10,2,22,2,2.20,45,2,0,0,0,4698
Sri Lanka,Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,4698
Sri Lanka,Glenn Phillips,1,0,3,0,3.00,3,0,0,0,0,4698
New Zealand,Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,4698
New Zealand,Maheesh Theekshana,7,0,43,1,6.14,24,6,1,0,0,4698
New Zealand,Dhananjaya de Silva,2,0,22,0,11.00,3,1,2,0,0,4698
New Zealand,Dushmantha Chameera,4,1,20,1,5.00,17,1,2,0,0,4698
New Zealand,Angelo Mathews,4,0,29,2,7.25,10,4,0,1,0,4698
England,Aryan Dutt,10,0,67,2,6.70,30,5,3,1,1,4697
England,Logan van Beek,10,0,88,2,8.80,25,10,1,10,0,4697
England,Paul van Meekeren,10,0,57,1,5.70,28,5,0,5,0,4697
England,Bas de Leede,10,0,74,3,7.40,26,5,4,0,0,4697
England,Roelof van der Merwe,3,0,22,0,7.33,6,0,2,0,0,4697
England,Colin Ackermann,7,0,31,0,4.42,15,1,0,0,0,4697
Netherlands,Chris Woakes,7,0,19,1,2.71,33,2,0,2,0,4697
Netherlands,David Willey,7,2,19,2,2.71,33,3,0,0,0,4697
Netherlands,Gus Atkinson,7,0,41,0,5.85,25,4,2,1,0,4697
Netherlands,Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,4697
Netherlands,Adil Rashid,8,0,54,3,6.75,22,5,2,1,0,4697
Afghanistan,Mitchell Starc,9,0,70,1,7.77,26,4,4,5,0,4696
Afghanistan,Josh Hazlewood,9,0,39,2,4.33,30,2,1,1,0,4696
Afghanistan,Glenn Maxwell,10,0,55,1,5.50,24,2,1,0,1,4696
Afghanistan,Pat Cummins,8,0,47,0,5.87,25,5,1,1,0,4696
Afghanistan,Adam Zampa,10,0,58,1,5.80,22,2,2,2,0,4696
Afghanistan,Travis Head,3,0,15,0,5.00,7,1,0,0,0,4696
Afghanistan,Marcus Stoinis,1,0,2,0,2.00,4,0,0,0,0,4696
Australia,Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,4696
Australia,Naveen-ul-Haq,9,0,47,2,5.22,34,5,2,1,0,4696
Australia,Azmatullah Omarzai,7,1,52,2,7.42,25,7,2,1,0,4696
Australia,Rashid Khan,10,0,44,2,4.40,36,3,1,3,0,4696
Australia,Noor Ahmad,10,1,53,0,5.30,36,4,2,1,0,4696
Australia,Mohammad Nabi,2,0,20,0,10.00,6,3,1,0,0,4696
Sri Lanka,Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,4695
Sri Lanka,Taskin Ahmed,10,1,39,0,3.90,39,5,0,1,0,4695
Sri Lanka,Tanzim Hasan Sakib,10,0,80,3,8.00,27,8,4,2,0,4695
Sri Lanka,Shakib Al Hasan,10,0,57,2,5.70,23,1,3,0,0,4695
Sri Lanka,Mehidy Hasan Miraz,10,0,49,1,4.90,30,6,0,0,0,4695
Bangladesh,Dilshan Madushanka,10,1,69,3,6.90,35,7,3,4,0,4695
Bangladesh,Maheesh Theekshana,9,0,44,2,4.88,34,6,0,3,0,4695
Bangladesh,Kasun Rajitha,4,0,47,0,11.75,7,5,3,0,0,4695
Bangladesh,Dushmantha Chameera,8,0,54,0,6.75,25,8,1,2,0,4695
Bangladesh,Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,4695
Bangladesh,Dhananjaya de Silva,3,0,20,0,6.66,8,3,0,0,0,4695
India,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,4694
India,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,4694
India,Kagiso Rabada,10,1,48,1,4.80,33,6,0,0,0,4694
India,Keshav Maharaj,10,0,30,1,3.00,32,0,0,1,0,4694
India,Tabraiz Shamsi,10,0,72,1,7.20,22,5,1,7,1,4694
India,Aiden Markram,2,0,17,0,8.50,4,1,1,1,0,4694
South Africa,Jasprit Bumrah,5,0,14,0,2.80,23,2,0,1,0,4694
South Africa,Mohammed Siraj,4,1,11,1,2.75,18,1,0,0,0,4694
South Africa,Ravindra Jadeja,9,1,33,5,3.66,37,5,0,0,0,4694
South Africa,Mohammed Shami,4,0,18,2,4.50,16,2,0,1,0,4694
South Africa,Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,4694
