innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
Netherlands,Sybrand Engelbrecht,33,49,73,3,1,67.34,c Woakes b Willey,4697
Netherlands,Scott Edwards,38,42,67,3,1,90.47,c Malan b Ali,4697
Netherlands,Bas de Leede,10,12,11,2,0,83.33, b Rashid,4697
Netherlands,Teja Nidamanuru,41,34,47,2,3,120.58,null,4697
Netherlands,Logan van Beek,2,2,3,0,0,100.00,c Malan b Rashid,4697
Netherlands,Roelof van der Merwe,0,4,3,0,0,0.00,c Rashid b Ali,4697
Netherlands,Aryan Dutt,1,3,4,0,0,33.33, b Rashid,4697
Netherlands,Paul van Meekeren,4,3,3,1,0,133.33,st †Buttler b Ali,4697
Afghanistan,Rahmanullah Gurbaz,21,25,38,2,0,84.00,c Starc b Hazlewood,4696
Afghanistan,Ibrahim Zadran,129,143,217,8,3,90.20,null,4696
Afghanistan,Rahmat Shah,30,44,61,1,0,68.18,c Hazlewood b Maxwell,4696
Afghanistan,Hashmatullah Shahidi,26,43,50,2,0,60.46, b Starc,4696
Afghanistan,Azmatullah Omarzai,22,18,23,1,2,122.22,c Maxwell b Zampa,4696
Afghanistan,Mohammad Nabi,12,10,15,0,1,120.00, b Hazlewood,4696
Afghanistan,Rashid Khan,35,18,25,2,3,194.44,null,4696
Australia,David Warner,18,29,46,3,0,62.06, b Azmatullah Omarzai,4696
Australia,Travis Head,0,2,5,0,0,0.00,c †Ikram Alikhil b Naveen-ul-Haq,4696
Australia,Mitchell Marsh,24,11,22,2,2,218.18,lbw b Naveen-ul-Haq,4696
Australia,Marnus Labuschagne,14,28,53,2,0,50.00,run out (Rahmat Shah),4696
Australia,Josh Inglis,0,1,1,0,0,0.00,c Ibrahim Zadran b Azmatullah Omarzai,4696
Australia,Glenn Maxwell,201,128,181,21,10,157.03,null,4696
Australia,Marcus Stoinis,6,7,13,1,0,85.71,lbw b Rashid Khan,4696
Australia,Mitchell Starc,3,7,8,0,0,42.85,c †Ikram Alikhil b Rashid Khan,4696
Australia,Pat Cummins,12,68,122,1,0,17.64,null,4696
Sri Lanka,Pathum Nissanka,41,36,61,8,0,113.88, b Tanzim Hasan Sakib,4695
Sri Lanka,Kusal Perera,4,5,5,1,0,80.00,c †Mushfiqur Rahim b Shoriful Islam,4695
Sri Lanka,Kusal Mendis,19,30,49,1,1,63.33,c Shoriful Islam b Shakib Al Hasan,4695
Sri Lanka,Sadeera Samarawickrama,41,42,53,4,0,97.61,c Mahmudullah b Shakib Al Hasan,4695
Sri Lanka,Charith Asalanka,108,105,159,6,5,102.85,c Litton Das b Tanzim Hasan Sakib,4695
Sri Lanka,Angelo Mathews,0,0,4,0,0,-,null,4695
Sri Lanka,Dhananjaya de Silva,34,36,58,4,1,94.44,st †Mushfiqur Rahim b Mehidy Hasan Miraz,4695
Sri Lanka,Maheesh Theekshana,21,31,35,3,0,67.74,c sub (Nasum Ahmed) b Shoriful Islam,4695
Sri Lanka,Dushmantha Chameera,4,9,17,0,0,44.44,run out (†Mushfiqur Rahim),4695
Sri Lanka,Kasun Rajitha,0,2,1,0,0,0.00,c Litton Das b Tanzim Hasan Sakib,4695
Sri Lanka,Dilshan Madushanka,0,1,3,0,0,0.00,null,4695
Bangladesh,Tanzid Hasan,9,5,11,2,0,180.00,c Nissanka b Madushanka,4695
Bangladesh,Litton Das,23,22,36,2,2,104.54,lbw b Madushanka,4695
Bangladesh,Najmul Hossain Shanto,90,101,163,12,0,89.10, b Mathews,4695
Bangladesh,Shakib Al Hasan,82,65,128,12,2,126.15,c Asalanka b Mathews,4695
Bangladesh,Mahmudullah,22,23,37,3,1,95.65, b Theekshana,4695
Bangladesh,Mushfiqur Rahim,10,13,21,1,0,76.92, b Madushanka,4695
Bangladesh,Towhid Hridoy,15,7,22,0,2,214.28,null,4695
Bangladesh,Mehidy Hasan Miraz,3,5,9,0,0,60.00,c Asalanka b Theekshana,4695
Bangladesh,Tanzim Hasan Sakib,5,6,6,1,0,83.33,null,4695
India,Rohit Sharma,40,24,32,6,2,166.66,c Bavuma b Rabada,4694
India,Shubman Gill,23,24,54,4,1,95.83, b Maharaj,4694
India,Virat Kohli,101,121,195,10,0,83.47,null,4694
India,Shreyas Iyer,77,87,101,7,2,88.50,c Markram b Ngidi,4694
India,KL Rahul,8,17,29,0,0,47.05,c van der Dussen b Jansen,4694
India,Suryakumar Yadav,22,14,19,5,0,157.14,c †de Kock b Shamsi,4694
India,Ravindra Jadeja,29,15,21,3,1,193.33,null,4694
South Africa,Quinton de Kock,5,10,9,1,0,50.00, b Mohammed Siraj,4694
South Africa,Temba Bavuma,11,19,39,1,0,57.89, b Jadeja,4694
South Africa,Rassie van der Dussen,13,32,55,1,0,40.62,lbw b Mohammed Shami,4694
South Africa,Aiden Markram,9,6,6,2,0,150.00,c †Rahul b Mohammed Shami,4694
South Africa,Heinrich Klaasen,1,11,12,0,0,9.09,lbw b Jadeja,4694
South Africa,David Miller,11,11,17,2,0,100.00, b Jadeja,4694
South Africa,Marco Jansen,14,30,45,1,0,46.66,c Jadeja b Kuldeep Yadav,4694
South Africa,Keshav Maharaj,7,11,7,1,0,63.63, b Jadeja,4694
South Africa,Kagiso Rabada,6,26,26,0,0,23.07,c & b Jadeja,4694
South Africa,Lungi Ngidi,0,3,7,0,0,0.00, b Kuldeep Yadav,4694
South Africa,Tabraiz Shamsi,4,4,3,1,0,100.00,null,4694
Australia,Travis Head,11,10,8,1,0,110.00,c Root b Woakes,4693
Australia,David Warner,15,16,29,1,1,93.75,c Willey b Woakes,4693
Australia,Steven Smith,44,52,85,3,0,84.61,c Ali b Rashid,4693
Australia,Marnus Labuschagne,71,83,111,7,0,85.54,lbw b Wood,4693
Australia,Josh Inglis,3,6,5,0,0,50.00,c Ali b Rashid,4693
Australia,Cameron Green,47,52,81,5,0,90.38, b Willey,4693
Australia,Marcus Stoinis,35,32,53,3,2,109.37,c Bairstow b Livingstone,4693
Australia,Pat Cummins,10,13,17,1,0,76.92,c Malan b Wood,4693
Australia,Mitchell Starc,10,13,30,0,0,76.92,c Ali b Woakes,4693
Australia,Adam Zampa,29,19,23,4,0,152.63,c †Buttler b Woakes,4693
Australia,Josh Hazlewood,1,1,1,0,0,100.00,null,4693
England,Jonny Bairstow,0,1,1,0,0,0.00,c †Inglis b Starc,4693
England,Dawid Malan,50,64,99,4,1,78.12,c Head b Cummins,4693
England,Joe Root,13,17,23,2,0,76.47,c †Inglis b Starc,4693
England,Ben Stokes,64,90,128,2,3,71.11,c Stoinis b Zampa,4693
England,Jos Buttler,1,7,10,0,0,14.28,c Green b Zampa,4693
England,Moeen Ali,42,43,61,6,0,97.67,c Warner b Zampa,4693
England,Liam Livingstone,2,5,6,0,0,40.00,c sub (SA Abbott) b Cummins,4693
England,Chris Woakes,32,33,52,4,1,96.96,c Labuschagne b Stoinis,4693
England,David Willey,15,14,19,3,0,107.14,c Zampa b Hazlewood,4693
England,Adil Rashid,20,15,23,1,1,133.33,c †Inglis b Hazlewood,4693
England,Mark Wood,0,0,1,0,0,-,null,4693
New Zealand,Devon Conway,35,39,48,6,0,89.74,c †Mohammad Rizwan b Hasan Ali,4692
New Zealand,Rachin Ravindra,108,94,170,15,1,114.89,c Saud Shakeel b Mohammad Wasim,4692
New Zealand,Kane Williamson,95,79,111,10,2,120.25,c Fakhar Zaman b Iftikhar Ahmed,4692
New Zealand,Daryl Mitchell,29,18,32,4,1,161.11, b Haris Rauf,4692
New Zealand,Mark Chapman,39,27,42,7,0,144.44, b Mohammad Wasim,4692
New Zealand,Glenn Phillips,41,25,40,4,2,164.00, b Mohammad Wasim,4692
New Zealand,Mitchell Santner,26,17,27,0,2,152.94,null,4692
New Zealand,Tom Latham,2,2,4,0,0,100.00,null,4692
Pakistan,Abdullah Shafique,4,9,8,1,0,44.44,c Williamson b Southee,4692
Pakistan,Fakhar Zaman,126,81,103,8,11,155.55,null,4692
Pakistan,Babar Azam,66,63,93,6,2,104.76,null,4692
Netherlands,Wesley Barresi,1,4,3,0,0,25.00,lbw b Mujeeb Ur Rahman,4691
Netherlands,Max O'Dowd,42,40,50,9,0,105.00,run out (Azmatullah Omarzai),4691
Netherlands,Colin Ackermann,29,35,71,4,0,82.85,run out (Rashid Khan/†Ikram Alikhil),4691
Netherlands,Sybrand Engelbrecht,58,86,85,6,0,67.44,run out (Mohammad Nabi/†Ikram Alikhil),4691
Netherlands,Scott Edwards,0,1,1,0,0,0.00,run out (†Ikram Alikhil),4691
Netherlands,Bas de Leede,3,6,5,0,0,50.00,c †Ikram Alikhil b Mohammad Nabi,4691
Netherlands,Saqib Zulfiqar,3,15,19,0,0,20.00,c †Ikram Alikhil b Noor Ahmad,4691
Netherlands,Logan van Beek,2,13,16,0,0,15.38,st †Ikram Alikhil b Mohammad Nabi,4691
Netherlands,Roelof van der Merwe,11,33,36,0,0,33.33,c Ibrahim Zadran b Noor Ahmad,4691
Netherlands,Aryan Dutt,10,22,42,0,0,45.45,null,4691
Netherlands,Paul van Meekeren,4,24,18,0,0,16.66,lbw b Mohammad Nabi,4691
Afghanistan,Rahmanullah Gurbaz,10,11,24,2,0,90.90,c †Edwards b van Beek,4691
Afghanistan,Ibrahim Zadran,20,34,44,2,0,58.82, b van der Merwe,4691
Afghanistan,Rahmat Shah,52,54,74,8,0,96.29,c & b Saqib Zulfiqar,4691
Afghanistan,Hashmatullah Shahidi,56,64,92,6,0,87.50,null,4691
Afghanistan,Azmatullah Omarzai,31,28,38,3,0,110.71,null,4691
India,Rohit Sharma,4,2,2,1,0,200.00, b Madushanka,4690
India,Shubman Gill,92,92,136,11,2,100.00,c †Mendis b Madushanka,4690
India,Virat Kohli,88,94,139,11,0,93.61,c Nissanka b Madushanka,4690
India,Shreyas Iyer,82,56,84,3,6,146.42,c Theekshana b Madushanka,4690
India,KL Rahul,21,19,34,2,0,110.52,c Hemantha b Chameera,4690
India,Suryakumar Yadav,12,9,13,2,0,133.33,c †Mendis b Madushanka,4690
India,Ravindra Jadeja,35,24,41,1,1,145.83,run out (Samarawickrama/†Mendis),4690
India,Mohammed Shami,2,4,11,0,0,50.00,run out (†Mendis),4690
India,Jasprit Bumrah,1,1,1,0,0,100.00,null,4690
Sri Lanka,Pathum Nissanka,0,1,2,0,0,0.00,lbw b Bumrah,4690
Sri Lanka,Dimuth Karunaratne,0,1,10,0,0,0.00,lbw b Mohammed Siraj,4690
Sri Lanka,Kusal Mendis,1,10,21,0,0,10.00, b Mohammed Siraj,4690
Sri Lanka,Sadeera Samarawickrama,0,4,4,0,0,0.00,c Iyer b Mohammed Siraj,4690
Sri Lanka,Charith Asalanka,1,24,42,0,0,4.16,c Jadeja b Mohammed Shami,4690
Sri Lanka,Angelo Mathews,12,25,55,1,0,48.00, b Mohammed Shami,4690
Sri Lanka,Dushan Hemantha,0,1,1,0,0,0.00,c †Rahul b Mohammed Shami,4690
Sri Lanka,Dushmantha Chameera,0,6,10,0,0,0.00,c †Rahul b Mohammed Shami,4690
Sri Lanka,Maheesh Theekshana,12,23,37,2,0,52.17,null,4690
Sri Lanka,Kasun Rajitha,14,17,20,2,0,82.35,c Shubman Gill b Mohammed Shami,4690
Sri Lanka,Dilshan Madushanka,5,6,4,1,0,83.33,c Iyer b Jadeja,4690
South Africa,Quinton de Kock,114,116,176,10,3,98.27,c Phillips b Southee,4689
South Africa,Temba Bavuma,24,28,37,4,1,85.71,c Mitchell b Boult,4689
South Africa,Rassie van der Dussen,133,118,172,9,5,112.71, b Southee,4689
South Africa,David Miller,53,30,48,2,4,176.66,c Mitchell b Neesham,4689
South Africa,Heinrich Klaasen,15,7,13,1,1,214.28,null,4689
South Africa,Aiden Markram,6,1,1,0,1,600.00,null,4689
New Zealand,Devon Conway,2,6,13,0,0,33.33,c Markram b Jansen,4689
New Zealand,Will Young,33,37,50,5,0,89.18,c †de Kock b Coetzee,4689
New Zealand,Rachin Ravindra,9,16,28,1,0,56.25,c Coetzee b Jansen,4689
New Zealand,Daryl Mitchell,24,30,40,4,0,80.00,c Miller b Maharaj,4689
New Zealand,Tom Latham,4,15,18,0,0,26.66,c Maharaj b Rabada,4689
New Zealand,Glenn Phillips,60,50,87,4,4,120.00,c Rabada b Coetzee,4689
New Zealand,Mitchell Santner,7,18,14,1,0,38.88, b Maharaj,4689
New Zealand,Tim Southee,7,11,11,1,0,63.63,lbw b Jansen,4689
New Zealand,James Neesham,0,8,6,0,0,0.00, b Maharaj,4689
New Zealand,Trent Boult,9,14,17,1,0,64.28,c Miller b Maharaj,4689
New Zealand,Matt Henry,0,9,20,0,0,0.00,null,4689
Bangladesh,Tanzid Hasan,0,5,7,0,0,0.00,lbw b Shaheen Shah Afridi,4688
Bangladesh,Litton Das,45,64,100,6,0,70.31,c Agha Salman b Iftikhar Ahmed,4688
Bangladesh,Najmul Hossain Shanto,4,3,8,1,0,133.33,c Usama Mir b Shaheen Shah Afridi,4688
Bangladesh,Mushfiqur Rahim,5,8,18,1,0,62.50,c †Mohammad Rizwan b Haris Rauf,4688
Bangladesh,Mahmudullah,56,70,108,6,1,80.00, b Shaheen Shah Afridi,4688
Bangladesh,Shakib Al Hasan,43,64,82,4,0,67.18,c Agha Salman b Haris Rauf,4688
Bangladesh,Towhid Hridoy,7,3,9,0,1,233.33,c Iftikhar Ahmed b Usama Mir,4688
Bangladesh,Mehidy Hasan Miraz,25,30,50,1,1,83.33, b Mohammad Wasim,4688
Bangladesh,Taskin Ahmed,6,13,20,0,0,46.15, b Mohammad Wasim,4688
Bangladesh,Mustafizur Rahman,3,7,11,0,0,42.85, b Mohammad Wasim,4688
Bangladesh,Shoriful Islam,1,4,8,0,0,25.00,null,4688
Pakistan,Abdullah Shafique,68,69,94,9,2,98.55,lbw b Mehidy Hasan Miraz,4688
Pakistan,Fakhar Zaman,81,74,126,3,7,109.45,c Towhid Hridoy b Mehidy Hasan Miraz,4688
Pakistan,Babar Azam,9,16,20,1,0,56.25,c Mahmudullah b Mehidy Hasan Miraz,4688
Pakistan,Mohammad Rizwan,26,21,27,4,0,123.80,null,4688
Pakistan,Iftikhar Ahmed,17,15,17,2,0,113.33,null,4688
Sri Lanka,Pathum Nissanka,46,60,82,5,0,76.66,c †Rahmanullah Gurbaz b Azmatullah Omarzai,4687
Sri Lanka,Dimuth Karunaratne,15,21,25,1,0,71.42,lbw b Fazalhaq Farooqi,4687
Sri Lanka,Kusal Mendis,39,50,91,3,0,78.00,c sub (Najibullah Zadran) b Mujeeb Ur Rahman,4687
Sri Lanka,Sadeera Samarawickrama,36,40,42,3,0,90.00,lbw b Mujeeb Ur Rahman,4687
Sri Lanka,Charith Asalanka,22,28,48,2,0,78.57,c Rashid Khan b Fazalhaq Farooqi,4687
Sri Lanka,Dhananjaya de Silva,14,26,24,1,0,53.84, b Rashid Khan,4687
Sri Lanka,Angelo Mathews,23,26,61,1,1,88.46,c Mohammad Nabi b Fazalhaq Farooqi,4687
Sri Lanka,Dushmantha Chameera,1,4,5,0,0,25.00,run out (Ibrahim Zadran),4687
Sri Lanka,Maheesh Theekshana,29,31,31,3,1,93.54, b Fazalhaq Farooqi,4687
Sri Lanka,Kasun Rajitha,5,7,14,0,0,71.42,run out (†Rahmanullah Gurbaz),4687
Sri Lanka,Dilshan Madushanka,0,4,5,0,0,0.00,null,4687
Afghanistan,Rahmanullah Gurbaz,0,4,2,0,0,0.00, b Madushanka,4687
Afghanistan,Ibrahim Zadran,39,57,73,4,1,68.42,c Karunaratne b Madushanka,4687
Afghanistan,Rahmat Shah,62,74,121,7,0,83.78,c Karunaratne b Rajitha,4687
Afghanistan,Hashmatullah Shahidi,58,74,132,2,1,78.37,null,4687
Afghanistan,Azmatullah Omarzai,73,63,80,6,3,115.87,null,4687
India,Rohit Sharma,87,101,162,10,3,86.13,c Livingstone b Rashid,4686
India,Shubman Gill,9,13,18,1,0,69.23, b Woakes,4686
India,Virat Kohli,0,9,12,0,0,0.00,c Stokes b Willey,4686
India,Shreyas Iyer,4,16,21,0,0,25.00,c Wood b Woakes,4686
India,KL Rahul,39,58,77,3,0,67.24,c Bairstow b Willey,4686
India,Suryakumar Yadav,49,47,75,4,1,104.25,c Woakes b Willey,4686
India,Ravindra Jadeja,8,13,14,0,0,61.53,lbw b Rashid,4686
India,Mohammed Shami,1,5,4,0,0,20.00,c †Buttler b Wood,4686
India,Jasprit Bumrah,16,25,44,1,0,64.00,run out (†Buttler),4686
India,Kuldeep Yadav,9,13,18,1,0,69.23,null,4686
England,Jonny Bairstow,14,23,53,2,0,60.86, b Mohammed Shami,4686
England,Dawid Malan,16,17,25,2,1,94.11, b Bumrah,4686
England,Joe Root,0,1,2,0,0,0.00,lbw b Bumrah,4686
England,Ben Stokes,0,10,14,0,0,0.00, b Mohammed Shami,4686
England,Jos Buttler,10,23,33,1,0,43.47, b Kuldeep Yadav,4686
England,Moeen Ali,15,31,55,0,0,48.38,c †Rahul b Mohammed Shami,4686
England,Liam Livingstone,27,46,56,2,0,58.69,lbw b Kuldeep Yadav,4686
England,Chris Woakes,10,20,21,1,0,50.00,st †Rahul b Jadeja,4686
England,David Willey,16,17,29,0,2,94.11,null,4686
England,Adil Rashid,13,20,19,2,0,65.00, b Mohammed Shami,4686
England,Mark Wood,0,1,3,0,0,0.00, b Bumrah,4686
Netherlands,Vikramjit Singh,3,9,7,0,0,33.33,c Shakib Al Hasan b Taskin Ahmed,4685
Netherlands,Max O'Dowd,0,3,11,0,0,0.00,c Tanzid Hasan b Shoriful Islam,4685
Netherlands,Wesley Barresi,41,41,49,8,0,100.00,c Shakib Al Hasan b Mustafizur Rahman,4685
Netherlands,Colin Ackermann,15,33,50,1,0,45.45,c Mustafizur Rahman b Shakib Al Hasan,4685
Netherlands,Scott Edwards,68,89,122,6,0,76.40,c Mehidy Hasan Miraz b Mustafizur Rahman,4685
Netherlands,Bas de Leede,17,32,49,2,0,53.12,c †Mushfiqur Rahim b Taskin Ahmed,4685
Netherlands,Sybrand Engelbrecht,35,61,72,3,0,57.37,lbw b Mahedi Hasan,4685
Netherlands,Logan van Beek,23,16,33,2,1,143.75,null,4685
Netherlands,Shariz Ahmad,6,8,13,0,0,75.00,run out (Mahmudullah/†Mushfiqur Rahim),4685
Netherlands,Aryan Dutt,9,6,7,0,1,150.00,c Mehidy Hasan Miraz b Shoriful Islam,4685
Netherlands,Paul van Meekeren,0,2,6,0,0,0.00,lbw b Mahedi Hasan,4685
Bangladesh,Litton Das,3,12,20,0,0,25.00,c †Edwards b Dutt,4685
Bangladesh,Tanzid Hasan,15,16,25,3,0,93.75,c †Edwards b van Beek,4685
Bangladesh,Mehidy Hasan Miraz,35,40,51,5,1,87.50,c †Edwards b de Leede,4685
Bangladesh,Najmul Hossain Shanto,9,18,27,2,0,50.00,c van Beek b van Meekeren,4685
Bangladesh,Shakib Al Hasan,5,14,14,0,0,35.71,c †Edwards b van Meekeren,4685
Bangladesh,Mushfiqur Rahim,1,5,9,0,0,20.00, b van Meekeren,4685
Bangladesh,Mahmudullah,20,41,70,2,0,48.78,c Dutt b de Leede,4685
Bangladesh,Mahedi Hasan,17,38,51,1,0,44.73,run out (de Leede),4685
Bangladesh,Taskin Ahmed,11,35,49,1,0,31.42,c de Leede b van Meekeren,4685
Bangladesh,Mustafizur Rahman,20,35,34,2,1,57.14, b Ackermann,4685
Bangladesh,Shoriful Islam,0,0,1,0,0,-,null,4685
Australia,David Warner,81,65,77,5,6,124.61,c & b Phillips,4684
Australia,Travis Head,109,67,94,10,7,162.68, b Phillips,4684
Australia,Mitchell Marsh,36,51,65,2,0,70.58, b Santner,4684
Australia,Steven Smith,18,17,19,2,0,105.88,c Boult b Phillips,4684
Australia,Marnus Labuschagne,18,26,36,2,0,69.23,c Ravindra b Santner,4684
Australia,Glenn Maxwell,41,24,37,5,2,170.83,c Boult b Neesham,4684
Australia,Josh Inglis,38,28,48,4,1,135.71,c Phillips b Boult,4684
Australia,Pat Cummins,37,14,23,2,4,264.28,lbw b Boult,4684
Australia,Mitchell Starc,1,3,7,0,0,33.33,c Neesham b Henry,4684
Australia,Adam Zampa,0,3,2,0,0,0.00, b Boult,4684
Australia,Josh Hazlewood,0,0,1,0,0,-,null,4684
New Zealand,Devon Conway,28,17,35,6,0,164.70,c Starc b Hazlewood,4684
New Zealand,Will Young,32,37,44,4,1,86.48,c Starc b Hazlewood,4684
New Zealand,Rachin Ravindra,116,89,137,9,5,130.33,c Labuschagne b Cummins,4684
New Zealand,Daryl Mitchell,54,51,59,6,1,105.88,c Starc b Zampa,4684
New Zealand,Tom Latham,21,22,29,2,0,95.45,c Hazlewood b Zampa,4684
New Zealand,Glenn Phillips,12,16,21,1,0,75.00,c Labuschagne b Maxwell,4684
New Zealand,James Neesham,58,39,64,3,3,148.71,run out (Labuschagne/†Inglis),4684
New Zealand,Mitchell Santner,17,12,13,1,1,141.66,c Maxwell b Zampa,4684
New Zealand,Matt Henry,9,8,14,1,0,112.50,c Hazlewood b Cummins,4684
New Zealand,Trent Boult,10,8,21,0,1,125.00,null,4684
New Zealand,Lockie Ferguson,0,1,1,0,0,0.00,null,4684
Pakistan,Abdullah Shafique,9,17,21,1,0,52.94,c Ngidi b Jansen,4683
Pakistan,Imam-ul-Haq,12,18,35,2,0,66.66,c Klaasen b Jansen,4683
Pakistan,Babar Azam,50,65,100,4,1,76.92,c †de Kock b Shamsi,4683
Pakistan,Mohammad Rizwan,31,27,35,4,1,114.81,c †de Kock b Coetzee,4683
Pakistan,Iftikhar Ahmed,21,31,38,1,1,67.74,c Klaasen b Shamsi,4683
Pakistan,Saud Shakeel,52,52,81,7,0,100.00,c †de Kock b Shamsi,4683
Pakistan,Shadab Khan,43,36,53,3,2,119.44,c Maharaj b Coetzee,4683
Pakistan,Mohammad Nawaz,24,24,32,1,2,100.00,c Miller b Jansen,4683
Pakistan,Shaheen Shah Afridi,2,4,10,0,0,50.00,c Maharaj b Shamsi,4683
Pakistan,Mohammad Wasim,7,9,13,0,1,77.77,c †de Kock b Ngidi,4683
Pakistan,Haris Rauf,0,1,5,0,0,0.00,null,4683
South Africa,Temba Bavuma,28,27,49,4,1,103.70,c Saud Shakeel b Mohammad Wasim,4683
South Africa,Quinton de Kock,24,14,19,5,0,171.42,c Mohammad Wasim b Shaheen Shah Afridi,4683
South Africa,Rassie van der Dussen,21,39,71,0,0,53.84,lbw b Usama Mir,4683
South Africa,Aiden Markram,91,93,151,7,3,97.84,c Babar Azam b Usama Mir,4683
South Africa,Heinrich Klaasen,12,10,12,0,1,120.00,c Usama Mir b Mohammad Wasim,4683
South Africa,David Miller,29,33,55,2,2,87.87,c †Mohammad Rizwan b Shaheen Shah Afridi,4683
South Africa,Marco Jansen,20,14,18,2,1,142.85,c Babar Azam b Haris Rauf,4683
South Africa,Gerald Coetzee,10,13,23,0,0,76.92,c †Mohammad Rizwan b Shaheen Shah Afridi,4683
South Africa,Keshav Maharaj,7,21,44,1,0,33.33,null,4683
South Africa,Lungi Ngidi,4,14,24,0,0,28.57,c & b Haris Rauf,4683
South Africa,Tabraiz Shamsi,4,6,14,0,0,66.66,null,4683
England,Jonny Bairstow,30,31,64,3,0,96.77,c de Silva b Rajitha,4682
England,Dawid Malan,28,25,32,6,0,112.00,c †Mendis b Mathews,4682
England,Joe Root,3,10,14,0,0,30.00,run out (Mathews/†Mendis),4682
England,Ben Stokes,43,73,98,6,0,58.90,c sub (MADI Hemantha) b Kumara,4682
England,Jos Buttler,8,6,6,1,0,133.33,c †Mendis b Kumara,4682
England,Liam Livingstone,1,6,9,0,0,16.66,lbw b Kumara,4682
England,Moeen Ali,15,15,33,1,0,100.00,c Perera b Mathews,4682
England,Chris Woakes,0,4,8,0,0,0.00,c Samarawickrama b Rajitha,4682
England,David Willey,14,17,34,1,1,82.35,null,4682
England,Adil Rashid,2,7,7,0,0,28.57,run out (†Mendis),4682
England,Mark Wood,5,6,6,1,0,83.33,st †Mendis b Theekshana,4682
Sri Lanka,Pathum Nissanka,77,83,110,7,2,92.77,null,4682
Sri Lanka,Kusal Perera,4,5,8,1,0,80.00,c Stokes b Willey,4682
Sri Lanka,Kusal Mendis,11,12,15,2,0,91.66,c †Buttler b Willey,4682
Sri Lanka,Sadeera Samarawickrama,65,54,84,7,1,120.37,null,4682
Australia,Mitchell Marsh,9,15,15,2,0,60.00,c Ackermann b van Beek,4681
Australia,David Warner,104,93,182,11,3,111.82,c Dutt b van Beek,4681
Australia,Steven Smith,71,68,88,9,1,104.41,c van der Merwe b Dutt,4681
Australia,Marnus Labuschagne,62,47,60,7,2,131.91,c Dutt b de Leede,4681
Australia,Josh Inglis,14,12,12,1,1,116.66,c Engelbrecht b de Leede,4681
Australia,Glenn Maxwell,106,44,53,9,8,240.90,c Engelbrecht b van Beek,4681
Australia,Cameron Green,8,11,15,1,0,72.72,run out (Engelbrecht),4681
Australia,Pat Cummins,12,9,39,2,0,133.33,null,4681
Australia,Mitchell Starc,0,1,1,0,0,0.00,c Ackermann b van Beek,4681
Australia,Adam Zampa,1,1,2,0,0,100.00,null,4681
Netherlands,Vikramjit Singh,25,25,28,6,0,100.00,run out (Maxwell),4681
Netherlands,Max O'Dowd,6,9,21,1,0,66.66, b Starc,4681
Netherlands,Colin Ackermann,10,11,21,2,0,90.90,lbw b Hazlewood,4681
Netherlands,Sybrand Engelbrecht,11,21,36,1,0,52.38,c Warner b Marsh,4681
Netherlands,Bas de Leede,4,7,7,1,0,57.14,lbw b Cummins,4681
Netherlands,Scott Edwards,12,22,53,0,0,54.54,null,4681
Netherlands,Teja Nidamanuru,14,18,19,2,0,77.77,c †Inglis b Marsh,4681
Netherlands,Logan van Beek,0,3,3,0,0,0.00,c †Inglis b Zampa,4681
Netherlands,Roelof van der Merwe,0,1,1,0,0,0.00,lbw b Zampa,4681
Netherlands,Aryan Dutt,1,8,9,0,0,12.50,lbw b Zampa,4681
Netherlands,Paul van Meekeren,0,1,2,0,0,0.00,st †Inglis b Zampa,4681
South Africa,Quinton de Kock,174,140,192,15,7,124.28,c Nasum Ahmed b Hasan Mahmud,4680
South Africa,Reeza Hendricks,12,19,24,1,0,63.15, b Shoriful Islam,4680
South Africa,Rassie van der Dussen,1,7,6,0,0,14.28,lbw b Mehidy Hasan Miraz,4680
South Africa,Aiden Markram,60,69,84,7,0,86.95,c Litton Das b Shakib Al Hasan,4680
South Africa,Heinrich Klaasen,90,49,94,2,8,183.67,c Mahmudullah b Hasan Mahmud,4680
South Africa,David Miller,34,15,26,1,4,226.66,null,4680
South Africa,Marco Jansen,1,1,3,0,0,100.00,null,4680
Bangladesh,Tanzid Hasan,12,17,30,1,0,70.58,c †Klaasen b Jansen,4680
Bangladesh,Litton Das,22,44,78,3,1,50.00,lbw b Rabada,4680
Bangladesh,Najmul Hossain Shanto,0,1,1,0,0,0.00,c †Klaasen b Jansen,4680
Bangladesh,Shakib Al Hasan,1,4,4,0,0,25.00,c †Klaasen b Williams,4680
Bangladesh,Mushfiqur Rahim,8,17,24,1,0,47.05,c sub (AL Phehlukwayo) b Coetzee,4680
Bangladesh,Mahmudullah,111,111,150,11,4,100.00,c Jansen b Coetzee,4680
Bangladesh,Mehidy Hasan Miraz,11,19,26,1,0,57.89,c sub (AL Phehlukwayo) b Maharaj,4680
Bangladesh,Nasum Ahmed,19,19,27,3,0,100.00,c & b Coetzee,4680
Bangladesh,Hasan Mahmud,15,25,32,2,0,60.00,c Coetzee b Rabada,4680
Bangladesh,Mustafizur Rahman,11,21,51,2,0,52.38,c Miller b Williams,4680
Bangladesh,Shoriful Islam,6,4,4,1,0,150.00,null,4680
Pakistan,Abdullah Shafique,58,75,89,5,2,77.33,lbw b Noor Ahmad,4679
