innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
Australia,Alex Carey,0,2,1,0,0,0.00,lbw b Jadeja,4662
Australia,Cameron Green,8,20,31,0,0,40.00,c Pandya b Ashwin,4662
Australia,Pat Cummins,15,24,26,1,1,62.50,c Iyer b Bumrah,4662
Australia,Mitchell Starc,28,35,58,2,1,80.00,c Iyer b Mohammed Siraj,4662
Australia,Adam Zampa,6,20,28,0,0,30.00,c Kohli b Pandya,4662
Australia,Josh Hazlewood,1,1,6,0,0,100.00,null,4662
India,Rohit Sharma,0,6,10,0,0,0.00,lbw b Hazlewood,4662
India,Ishan Kishan,0,1,3,0,0,0.00,c Green b Starc,4662
India,Virat Kohli,85,116,171,6,0,73.27,c Labuschagne b Hazlewood,4662
India,Shreyas Iyer,0,3,2,0,0,0.00,c Warner b Hazlewood,4662
India,KL Rahul,97,115,180,8,2,84.34,null,4662
India,Hardik Pandya,11,8,17,0,1,137.50,null,4662
South Africa,Quinton de Kock,100,84,140,12,3,119.04,c de Silva b Pathirana,4661
South Africa,Temba Bavuma,8,5,9,2,0,160.00,lbw b Madushanka,4661
South Africa,Rassie van der Dussen,108,110,161,13,2,98.18,c Samarawickrama b Wellalage,4661
South Africa,Aiden Markram,106,54,84,14,3,196.29,c Rajitha b Madushanka,4661
South Africa,Heinrich Klaasen,32,20,30,1,3,160.00,c Shanaka b Rajitha,4661
South Africa,David Miller,39,21,36,3,2,185.71,null,4661
South Africa,Marco Jansen,12,7,15,0,1,171.42,null,4661
Sri Lanka,Pathum Nissanka,0,3,6,0,0,0.00, b Jansen,4661
Sri Lanka,Kusal Perera,7,15,42,1,0,46.66, b Jansen,4661
Sri Lanka,Kusal Mendis,76,42,55,4,8,180.95,c †Klaasen b Rabada,4661
Sri Lanka,Sadeera Samarawickrama,23,19,22,3,1,121.05,c Jansen b Coetzee,4661
Sri Lanka,Charith Asalanka,79,65,83,8,4,121.53,c sub (RR Hendricks) b Ngidi,4661
Sri Lanka,Dhananjaya de Silva,11,14,28,1,0,78.57,c sub (AL Phehlukwayo) b Maharaj,4661
Sri Lanka,Dasun Shanaka,68,62,86,6,3,109.67, b Maharaj,4661
Sri Lanka,Dunith Wellalage,0,1,2,0,0,0.00,c †Klaasen b Coetzee,4661
Sri Lanka,Kasun Rajitha,33,31,52,4,1,106.45,c Markram b Coetzee,4661
Sri Lanka,Matheesha Pathirana,5,16,25,1,0,31.25, b Rabada,4661
Sri Lanka,Dilshan Madushanka,4,2,4,1,0,200.00,null,4661
Afghanistan,Rahmanullah Gurbaz,47,62,112,4,1,75.80,c Tanzid Hasan b Mustafizur Rahman,4660
Afghanistan,Ibrahim Zadran,22,25,41,3,1,88.00,c Tanzid Hasan b Shakib Al Hasan,4660
Afghanistan,Rahmat Shah,18,25,30,1,0,72.00,c Litton Das b Shakib Al Hasan,4660
Afghanistan,Hashmatullah Shahidi,18,38,34,2,0,47.36,c Towhid Hridoy b Mehidy Hasan Miraz,4660
Afghanistan,Najibullah Zadran,5,13,16,0,0,38.46, b Shakib Al Hasan,4660
