Player,Country,Role,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Ikram Alikhil,Afghanistan,Wicketkeeper Batter,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,6,1
Imam-ul-Haq,Pakistan,Top order Batter,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,1,-
Josh Inglis,Australia,Wicketkeeper Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,14,2
Ishan Kishan,India,Wicketkeeper Batter,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Shreyas Iyer,India,Top order Batter,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,5,-
Ravindra Jadeja,India,Allrounder,2023-2023,11,11,561,4,398,16,5/33,24.87,4.25,35.0,1,-,7,-
Marco Jansen,South Africa,Bowling Allrounder,2023-2023,9,9,414,3,450,17,3/31,26.47,6.52,24.3,-,-,3,-
Chamika Karunaratne,Sri Lanka,Bowling Allrounder,2023-2023,3,2,72,1,73,-,-,-,6.08,-,-,-,1,-
Dimuth Karunaratne,Sri Lanka,Opening Batter,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,2,-
Heinrich Klaasen,South Africa,Wicketkeeper Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,9,-
Ryan Klein,Netherlands,Bowler,2023-2023,1,1,42,1,41,-,-,-,5.85,-,-,-,-,-
Virat Kohli,India,Top order Batter,2023-2023,11,2,21,-,15,1,1/13,15.00,4.28,21.0,-,-,6,-
Kuldeep Yadav,India,Bowler,2023-2023,11,11,571,2,424,15,2/7,28.26,4.45,38.0,-,-,2,-
Lahiru Kumara,Sri Lanka,Bowler,2023-2023,2,2,66,-,82,3,3/35,27.33,7.45,22.0,-,-,-,-
Marnus Labuschagne,Australia,Batter,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,8,-
Tom Latham,New Zealand,Wicketkeeper Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,9,-
Litton Das,Bangladesh,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,5,-
Liam Livingstone,England,Batting Allrounder,2023-2023,6,6,174,1,158,3,1/13,52.66,5.44,58.0,-,-,2,-
Dilshan Madushanka,Sri Lanka,Bowler,2023-2023,9,9,470,4,525,21,5/80,25.00,6.70,22.3,1,-,-,-
Keshav Maharaj,South Africa,Bowler,2023-2023,10,10,534,1,370,15,4/46,24.66,4.15,35.6,-,-,4,-
Mahedi Hasan,Bangladesh,Allrounder,2023-2023,3,3,144,-,149,6,4/71,24.83,6.20,24.0,-,-,1,-
Mahmudullah,Bangladesh,Allrounder,2023-2023,8,3,30,-,33,-,-,-,6.60,-,-,-,5,-
Dawid Malan,England,Top order Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,4,-
Aiden Markram,South Africa,Opening Batter,2023-2023,10,4,111,1,85,1,1/23,85.00,4.59,111.0,-,-,4,-
Mitchell Marsh,Australia,Allrounder,2023-2023,10,5,78,-,96,2,2/19,48.00,7.38,39.0,-,-,-,-
Angelo Mathews,Sri Lanka,Allrounder,2023-2023,5,5,133,2,107,6,2/14,17.83,4.82,22.1,-,-,-,-
Glenn Maxwell,Australia,Batting Allrounder,2023-2023,9,8,411,1,330,6,2/34,55.00,4.81,68.5,-,-,4,-
Mehidy Hasan Miraz,Bangladesh,Allrounder,2023-2023,9,9,432,3,402,10,3/25,40.20,5.58,43.2,-,-,2,-
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,6,1
David Miller,South Africa,Middle order Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,7,-
Daryl Mitchell,New Zealand,Batting Allrounder,2023-2023,10,2,9,-,12,-,-,-,8.00,-,-,-,11,-
Mohammad Nabi,Afghanistan,Allrounder,2023-2023,9,9,369,4,254,8,3/28,31.75,4.13,46.1,-,-,5,-
Mohammad Nawaz,Pakistan,Allrounder,2023-2023,5,5,227,-,223,2,1/31,111.50,5.89,113.5,-,-,1,-
Mohammad Rizwan,Pakistan,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,11,-
Mohammad Wasim,Pakistan,Bowling Allrounder,2023-2023,4,4,229,2,215,10,3/31,21.50,5.63,22.9,-,-,1,-
Mohammed Shami,India,Bowler,2023-2023,7,7,293,4,257,24,7/57,10.70,5.26,12.2,3,-,2,-
Mohammed Siraj,India,Bowler,2023-2023,11,11,495,6,469,14,3/16,33.50,5.68,35.3,-,-,-,-
Mujeeb Ur Rahman,Afghanistan,Bowler,2023-2023,9,9,491,2,458,8,3/51,57.25,5.59,61.3,-,-,1,-
Mushfiqur Rahim,Bangladesh,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,4,1
Mustafizur Rahman,Bangladesh,Bowler,2023-2023,8,8,394,3,398,5,2/36,79.60,6.06,78.8,-,-,1,-
Najibullah Zadran,Afghanistan,Middle order Batter,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Nasum Ahmed,Bangladesh,Bowler,2023-2023,3,3,147,-,172,-,-,-,7.02,-,-,-,1,-
Naveen-ul-Haq,Afghanistan,Bowler,2023-2023,8,8,322,1,352,8,2/47,44.00,6.55,40.2,-,-,2,-
Najmul Hossain Shanto,Bangladesh,Top order Batter,2023-2023,9,1,6,-,5,-,-,-,5.00,-,-,-,3,-
