Player,Country,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Angelo Mathews,Sri Lanka,2023-2023,5,4,0,51,23,12.75,65.38,-,-,1
Glenn Maxwell,Australia,2023-2023,9,9,3,400,201*,66.66,150.37,2,-,1
Mehidy Hasan Miraz,Bangladesh,2023-2023,9,9,0,201,57,22.33,79.44,-,1,-
Kusal Mendis,Sri Lanka,2023-2023,9,9,0,294,122,32.66,113.95,1,1,-
David Miller,South Africa,2023-2023,10,10,2,356,101,44.50,107.87,1,1,-
Daryl Mitchell,New Zealand,2023-2023,10,9,1,552,134,69.00,111.06,2,2,-
Mohammad Nabi,Afghanistan,2023-2023,9,6,0,55,19,9.16,72.36,-,-,-
Mohammad Nawaz,Pakistan,2023-2023,5,4,0,81,39,20.25,83.50,-,-,-
Mohammad Rizwan,Pakistan,2023-2023,9,8,2,395,131*,65.83,95.41,1,1,-
Mohammad Wasim,Pakistan,2023-2023,4,2,1,23,16*,23.00,100.00,-,-,-
Mohammed Shami,India,2023-2023,7,4,1,10,6,3.33,50.00,-,-,-
Mohammed Siraj,India,2023-2023,11,1,1,9,9*,-,112.50,-,-,-
Mujeeb Ur Rahman,Afghanistan,2023-2023,9,5,1,51,28,12.75,127.50,-,-,-
Mushfiqur Rahim,Bangladesh,2023-2023,9,9,1,202,66,25.25,79.21,-,2,-
Mustafizur Rahman,Bangladesh,2023-2023,8,6,2,42,20,10.50,47.19,-,-,-
Najibullah Zadran,Afghanistan,2023-2023,2,2,0,7,5,3.50,33.33,-,-,-
Nasum Ahmed,Bangladesh,2023-2023,3,3,0,40,19,13.33,83.33,-,-,-
Naveen-ul-Haq,Afghanistan,2023-2023,8,5,1,16,9*,4.00,64.00,-,-,2
Najmul Hossain Shanto,Bangladesh,2023-2023,9,9,1,222,90,27.75,76.81,-,2,2
James Neesham,New Zealand,2023-2023,3,2,0,58,58,29.00,123.40,-,1,1
Lungi Ngidi,South Africa,2023-2023,8,3,1,11,7*,5.50,26.82,-,-,1
Teja Nidamanuru,Netherlands,2023-2023,7,7,1,164,54,27.33,98.20,-,1,-
Pathum Nissanka,Sri Lanka,2023-2023,9,9,1,332,77*,41.50,89.48,-,4,2
Noor Ahmad,Afghanistan,2023-2023,4,1,0,26,26,26.00,81.25,-,-,-
Max O'Dowd,Netherlands,2023-2023,9,9,0,138,42,15.33,69.00,-,-,1
Hardik Pandya,India,2023-2023,4,1,1,11,11*,-,137.50,-,-,-
Matheesha Pathirana,Sri Lanka,2023-2023,2,2,1,6,5,6.00,31.57,-,-,-
Kusal Perera,Sri Lanka,2023-2023,7,7,0,149,78,21.28,101.36,-,2,1
Andile Phehlukwayo,South Africa,2023-2023,1,1,1,39,39*,-,105.40,-,-,-
Glenn Phillips,New Zealand,2023-2023,10,9,2,285,71,40.71,111.76,-,2,-
Kagiso Rabada,South Africa,2023-2023,9,4,1,25,10,8.33,55.55,-,-,-
Rahmanullah Gurbaz,Afghanistan,2023-2023,9,9,0,280,80,31.11,98.93,-,2,1
Rahmat Shah,Afghanistan,2023-2023,9,9,1,320,77*,40.00,76.37,-,3,-
KL Rahul,India,2023-2023,11,10,4,452,102,75.33,90.76,1,2,-
Kasun Rajitha,Sri Lanka,2023-2023,6,4,0,52,33,13.00,91.22,-,-,1
Adil Rashid,England,2023-2023,9,9,3,92,20,15.33,101.09,-,-,-
Rashid Khan,Afghanistan,2023-2023,9,6,1,105,35*,21.00,94.59,-,-,-
Rachin Ravindra,New Zealand,2023-2023,10,10,1,578,123*,64.22,106.44,3,2,-
Joe Root,England,2023-2023,9,9,0,276,82,30.66,88.46,-,3,1
Sadeera Samarawickrama,Sri Lanka,2023-2023,9,9,2,373,108,53.28,102.19,1,2,1
Mitchell Santner,New Zealand,2023-2023,10,7,3,103,36*,25.75,127.16,-,-,-
Saqib Zulfiqar,Netherlands,2023-2023,2,2,0,13,10,6.50,39.39,-,-,-
Saud Shakeel,Pakistan,2023-2023,9,7,0,241,68,34.42,97.96,-,2,-
Shadab Khan,Pakistan,2023-2023,6,5,0,121,43,24.20,100.83,-,-,-
Shaheen Shah Afridi,Pakistan,2023-2023,9,6,3,55,25,18.33,91.66,-,-,-
